Pop,Latdec,Longdec,Species
CA,-2.482761,-65.415769,S. fluviatilis
CO,-3.923209,-70.5466,S. fluviatilis
CR,9.618796,-82.559515,S. guianensis
EC,-0.985587,-75.298949,S. fluviatilis
FG,4.936759,-52.274484,S. guianensis
IG,-23.075133,-44.636778,S. guianensis
JU,-3.975462,-66.44105,S. fluviatilis
PA,-0.876955,-46.585228,S. guianensis
PE,-3.469958,-72.73736,S. fluviatilis
PR,-25.457326,-48.363887,S. guianensis
RN,-6.183587,-35.093837,S. guianensis
SC,-26.242191,-48.664566,S. guianensis
SE,-23.009653,-43.98519,S. guianensis
SP,-25.058811,-47.921498,S. guianensis
TO,-3.055776,-49.646758,Unknown
VZ,10.206915,-71.584598,S. guianensis
